Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DME487856	173.756241889828	0.249704030176577	0.272573958331388	0.916096430140231	0.359616320011623	0.516489429156964	173.756241889828	-0.459140669953509	0.274576716726494	-1.67217626981409	0.0944895684044531	0.240392003479938	173.756241889828	0.326314911762088	0.386618361585515	0.844023316491944	0.398656376420678	0.613963280827578
DME9736	27.9924364275895	0.0404395037925668	0.252353903100367	0.160249171087649	0.872684796915636	0.91991834260634	27.9924364275895	-0.885682355616811	0.271116495715649	-3.26679626512186	0.0010877192862664	0.010083451761875	27.9924364275895	0.549560495584673	0.374054899211716	1.46919742728358	0.141779247915563	0.34040673005772
DMGYPF1A	175.580199574393	1.49784572479035	0.615601903089485	2.43314017918592	0.014968504618773	0.0520243025282242	175.580199574393	-1.24199079407665	0.620035224173286	-2.00309715586342	0.0451668612192838	0.14532334463889	175.580199574393	-1.1303666200528	0.875052797606997	-1.29176962023779	0.196436939089206	0.407257366666107
DMHFL1	11.5259964739593	-0.388648715470568	0.325342736532249	-1.19458242594589	0.232250218870333	0.380644295668633	11.5259964739593	-0.409765908289214	0.321779792138619	-1.27343580392609	0.202863439069358	0.391773462811222	11.5259964739593	0.548707931529491	0.463594287251128	1.18359511024832	0.236573376937554	0.45400766053666
DMIFACA	7.13897989782801	-0.542239478908828	0.452544389433793	-1.19820174897596	0.230838484682078	0.379254531097906	7.13897989782801	0.00521545479188746	0.414499991162976	0.0125825208759457	0.989960865756809	0.995672508512536	7.13897989782801	1.04790196813392	0.598831178165654	1.74991217281615	0.0801334698802013	0.248674445427386
DMIS176	11.6203123073596	-0.216017932070695	0.32018356985049	-0.674669009941905	0.499886077792556	0.647689993115156	11.6203123073596	-0.29283428479357	0.319080951643117	-0.917742921617889	0.35875347100784	0.56310124531746	11.6203123073596	0.349935384136849	0.455886190633977	0.767593735730868	0.442728585178715	0.651910413343692
DMIS297	30.3576333433283	-1.16134902396802	0.285844473781728	-4.06287030357225	4.84729649281457e-05	0.00056869780231383	30.3576333433283	-0.512286590141456	0.270758798350631	-1.89204041849103	0.0584855957594747	0.173486858245105	30.3576333433283	0.496630300932905	0.407415081894304	1.21897868538344	0.222852282529573	0.437880985016911
DMLINEJA	60.9748496997795	0.754775196861147	0.23942340535636	3.15247039335078	0.0016189523824371	0.00938289140577906	60.9748496997795	-0.749604956757371	0.25441726367817	-2.94636042350333	0.00321537496277777	0.0220574722446555	60.9748496997795	-0.0127379349636828	0.34930226903687	-0.0364667970775142	0.970910153184791	0.985724316604247
DMMDG3	23.5290165894777	-0.0519437075238296	0.270023902141111	-0.192367072366374	0.847454683131949	0.904033772250124	23.5290165894777	-0.364346978171525	0.27483612753048	-1.32568807982174	0.184943037405429	0.370479637614368	23.5290165894777	0.0544045483975419	0.390794750048092	0.139215146546484	0.88928013984097	0.948692320728916
DMPOGOR11	17.9048019821661	-0.4281973336456	0.304863439902536	-1.40455455656635	0.160153777831545	0.293587983714555	17.9048019821661	-0.848742238593565	0.313843617205571	-2.70434761793364	0.00684386515841737	0.0383668552579836	17.9048019821661	0.226748353968091	0.456511603445534	0.496697898271812	0.61940210476428	0.7844425178093
