Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
BAGGINS	1238.51540020886	0.613041468116921	0.120236144694208	5.09864541711684	3.42092677841057e-07	1.94380752347426e-06	1238.51540020886	-0.297421090085447	0.120235846082605	-2.4736474169368	0.0133741614480031	0.0590140391286472
DM06920	859.506859397432	0.618887596209816	0.166150816978674	3.72485436703723	0.000195428010235228	0.000615227807121497	859.506859397432	0.222806319066449	0.166151306899366	1.34098445100644	0.179925501014873	0.379193560619303
DOC2	1023.16334860275	0.706553882782543	0.183472902100959	3.85099856541078	0.000117637188082951	0.000389502031864551	1023.16334860275	-0.455819171252491	0.183472737204449	-2.48439729083323	0.0129770937419924	0.0575468468757672
Beagle2	801.611560014453	0.83807325706886	0.134013696714933	6.25363882657134	4.00997778977538e-10	4.12728275976111e-09	801.611560014453	0.380291961135554	0.134014874109135	2.83768472465125	0.00454420434890891	0.0255384666435108
JUAN	818.188106851113	0.910789578534418	0.189586796636315	4.80407704910796	1.55466957946573e-06	7.66160423054068e-06	818.188106851113	0.0738154541908883	0.189586240708738	0.389350270963447	0.697017053394434	0.842613295124813
ACCORD	731.59275949875	0.634117496203023	0.176710569793959	3.58845255800142	0.000332646508455879	0.000988329737345579	731.59275949875	0.0753234924988738	0.17671065275686	0.426253263873757	0.669923309262175	0.824998884363407
DMDM11	949.438261903907	0.5504901595814	0.197109402531665	2.79281532240942	0.0052251513717816	0.0117356461424402	949.438261903907	-0.253165298344194	0.197109333264508	-1.28439021202747	0.199005456000127	0.406301421550849
DMMDG3	784.043381123127	0.719127992298717	0.10731955809418	6.70081022573384	2.07267073691383e-11	2.77671420366112e-10	784.043381123127	-0.313052122618686	0.107317490559718	-2.91706525176793	0.00353341844751589	0.021071277717791
TABOR	902.097048717323	0.23169803558312	0.0857287473471024	2.70268775356078	0.00687813263185445	0.0149943964271798	902.097048717323	-0.0670254677151555	0.0857292096263885	-0.781827664191181	0.434315860682311	0.648587407273818
TC1-2	692.155328086013	0.459704971626336	0.0643419635693733	7.14471467956807	9.01830122371978e-13	1.56794131809016e-11	692.155328086013	-0.178790743411118	0.0643412066781813	-2.77879064819821	0.00545616770574603	0.0294862418051029
ROVER	743.805260868597	0.341541642433076	0.140095647941544	2.43791757596629	0.0147721418222017	0.0295841126666921	743.805260868597	-0.2532141835153	0.140095647938465	-1.80743789861709	0.070694029304513	0.201059172899668
DMIS176	714.601001375463	1.03310651469157	0.126163515050196	8.18863135099348	2.64213473921586e-16	8.57411200565925e-15	714.601001375463	-0.340956805896905	0.126157879728984	-2.70261997609153	0.00687953515031349	0.0353475839329029
ROXELEMENT	656.673474768904	0.351111940944317	0.0798036564261768	4.39969741573328	1.08401922665296e-05	4.47739791793328e-05	656.673474768904	-0.0603502928535431	0.0798054175443891	-0.756217995100086	0.449518505349749	0.661100254815328
BS	615.248657854344	0.196444790254413	0.257884631736704	0.761754544780242	0.446206514306349	0.543084305532625	615.248657854344	-0.983705072923502	0.257885576427481	-3.81450210031473	0.00013645777650987	0.00154876101183103
DMIFACA	640.831280923103	0.850942009248303	0.134839798843707	6.31076296868874	2.77663179425332e-10	2.96514114130726e-09	640.831280923103	-0.363280757160804	0.134836923015578	-2.69422313292356	0.00705529151752437	0.0359760669676968
TAHRE	507.207491325051	0.769758537674295	0.154119685101833	4.9945504181746	5.89729842581009e-07	3.17419001421421e-06	507.207491325051	0.489029326990166	0.154124274026309	3.17295461782151	0.00150896109333589	0.0109100302504791
GYPSY12	625.169349216922	0.625742120329703	0.0846668328802092	7.39064045557289	1.46123252298891e-13	2.95115994446553e-12	625.169349216922	-0.165019809069666	0.0846634324352413	-1.94912731887984	0.0512802219320527	0.160228223237099
DMGYPF1A	413.978482466867	0.577718212792701	0.137174401966414	4.21155991577895	2.53613265117941e-05	9.66042551175746e-05	413.978482466867	0.0495191533130191	0.137175269247745	0.360991843388221	0.718105544567273	0.85532927669171
GYPSY7	680.113174416504	0.936736316793267	0.169503881716982	5.52634138702099	3.26977594282205e-08	2.34096795050593e-07	680.113174416504	-0.605529014662607	0.169502620395399	-3.57238733684522	0.000353741682243128	0.00337582176416176
CIRC	496.291225862397	0.67727770032113	0.090047294458046	7.52135535439858	5.4211281654878e-14	1.16341065124513e-12	496.291225862397	-0.455313710877476	0.0900427640055534	-5.05663854176438	4.26710909898492e-07	1.24838618497655e-05
INVADER4	598.714055097292	0.892283845450237	0.154984110397051	5.75726016792502	8.54901012593731e-09	6.93148971399526e-08	598.714055097292	0.03025825689755	0.154982166368852	0.195237023758826	0.845207395946698	0.927480538723519
TRANSIB2	508.661767022389	0.527235115404818	0.079091002548386	6.6661832372433	2.62541441790009e-11	3.4346174919104e-10	508.661767022389	-0.166179415721785	0.0790886697938759	-2.10117853992093	0.0356252964880763	0.122855355699144
IVK	540.986004515518	0.600294403545906	0.131576140411059	4.5623347946711	5.05878954264763e-06	2.24020249379546e-05	540.986004515518	-0.404547845306696	0.131575401265538	-3.07464648722795	0.0021075219607739	0.0141807578818112
TIRANT	458.974632544555	0.520524761434676	0.163830934435554	3.17720681523326	0.00148700954059249	0.00379631803660904	458.974632544555	-0.223690100784107	0.163830567096612	-1.36537463519977	0.172135331870478	0.369046227727903
DMTNFB	480.520781412733	0.787639599341745	0.127040860780381	6.19989186552633	5.6501967723846e-10	5.69277549711998e-09	480.520781412733	-0.372593524617442	0.127036354598606	-2.93296769885059	0.00335738819842299	0.0203174330392835
